cell_type	GSM1012941	GSM1013003	GSM1013014	GSM1013060	GSM1012830	GSM1012835	GSM1012891	GSM1012917	GSM1012921	GSM1012931	GSM1012934	GSM1012936	GSM1012938	GSM1012974	GSM1012979	GSM1012999	GSM1013007	GSM1013015	GSM1013016	GSM1013025	GSM1013032	GSM1013035	GSM1013052	GSM1013057	GSM1013063	GSM1013065	GSM1013083	GSM1012828	GSM1012844	GSM1012845	GSM1012851	GSM1012855	GSM1012860	GSM1012865	GSM1012885	GSM1012890	GSM1012894	GSM1012924	GSM1012954	GSM1012956	GSM1012959	GSM1012961	GSM1012987	GSM1012989	GSM1012992	GSM1012996	GSM1013013	GSM1013041	GSM1013070	GSM1013082	GSM1013087	GSM1013098	GSM1013102	GSM1012880	GSM1012881	GSM1012898	GSM1012922	GSM1012977	GSM1012988	GSM1013004	GSM1013027	GSM1013040	GSM1013062	GSM1012829	GSM1012857	GSM1012863	GSM1012883	GSM1012884	GSM1012892	GSM1012904	GSM1012907	GSM1012912	GSM1012915	GSM1012916	GSM1012920	GSM1012939	GSM1012942	GSM1012993	GSM1012998	GSM1013022	GSM1013023	GSM1013029	GSM1013034	GSM1013037	GSM1013084	GSM1033052	GSM1033019	GSM1033047	GSM1033049	GSM1032893	GSM1032989	GSM1033012	GSM1033040	GSM1032960	GSM1033026	GSM1033001	GSM1033030	GSM1032921	GSM1032922	GSM1033006	GSM1032901	GSM1033018	GSM1033020	GSM1033002	GSM1032907	GSM1032991	GSM1032998	GSM1032955	GSM1032947	GSM1032957	GSM1032936	GSM1032959	GSM1032943	GSM1032944	GSM1032924	GSM1032884
NK cell resting_CIBERSORT	0.051139264	0	0.009653048	0	0.011029789	0	0	0	0.008868248	0	0	0	0	0	0.004559938	0.01035891	0	0	0	0.000536341	0	0	0.029862244	0.040808855	0	0	0.0040351	0	0.023605054	0.082138632	0.019139601	0	0.045288396	0.031270098	0	0	0	0.004614216	0.027629314	0	0	0	0.047295139	0	0	0	0.054165594	0	0.006872037	0	0	0	0	0.036563682	0	0.031739883	0	0.031169141	0.065982107	0	0.031416057	0	0	0	0.004174891	0.041328674	0.006289102	0.059539686	0.040682407	0	0.038826286	0	0.05881262	0	0.040128914	0.05949177	0	0	0.070036867	0.002077169	0.048615297	0.003311212	0.025077483	0.045971856	0	0.003651274	0.007581238	0	0	0.089449743	0.009934331	0	0.003926681	0.048412085	0	0	0	0.044570034	0	0.01279273	0.05004885	0.05076424	0	0.004916629	0.004993171	0.00195742	0.047579514	0	0	0	0	0	0.112768203	0	0.047897849	0
NK cell activated_CIBERSORT	0.009806187	0.023399045	0.011950652	0.0485924	0	0	0.00955999	0.021954033	0	0.037348019	0	0.027863562	0	0.006955208	0.02775165	0	0.033145148	0.03649628	0.020808475	0	0.074095336	0.055143341	0	0	0.038215589	0	0.020192907	0.01646062	0	0	0.00267836	0.016859967	0	0.003958022	0.057327164	0.040976049	0.026882268	0.010927999	0	0.025267183	0.031417795	0.04005649	0.026615542	0.034871386	0.070054965	0.002640766	0	0.043458562	0.000249573	0	0.058403734	0.02359387	0	0	0.083996521	0	0.0058683	0	0	0.024552021	0	0.005898914	0.087269527	0.027115024	0	0	0.019900364	0	0	0	0	0.155510897	0	0.031109205	0	0.027567172	0.041826121	0.030255084	0.032018065	0.003092754	0.020712772	0.041109795	0	0	0.06503111	0.009244385	0.016932698	0.024122072	0.007486931	0	0	0.035260636	0.005796009	0.01810945	0.065790187	0.070373018	0.076105746	0	0.048637944	0	0	0	0.012571628	0.034808092	0.027775784	0.029659348	0.037877632	0.020103458	0.006120408	0.054593632	0	0	0	0.017524228	0	0
Monocyte_CIBERSORT	0	0	0.157098311	0.03319686	0.058433914	0.065499421	0	0.069775659	0.042237948	0.06021265	0.001915715	0.028593775	0	0	0.078350826	0.086232488	0.138648833	0.023317356	0.012888639	0.043258556	0	0.053021815	0.039718233	0	0.021394398	0	0	0	0.050687885	0	0.005433427	0.097311704	0	0	0.032631087	0.092115738	0.168988818	0.168489346	0.074057082	0.018363613	0	0.073326363	0.053462388	0	0.013554215	0.075109537	0.000532158	0.085773931	0.026393834	0	0.025421849	0.06934409	0.067710371	0.085819783	0.000666389	0	0	0	0.035974765	0.087531981	0.001990075	0.009054668	0.028430308	0.00468485	0	0	0.037590404	0	0	0.054384347	0.046154935	0.077659096	0	0.039059183	0.026925694	0	0	0	0	0.067500161	0.022235662	0	0.070515432	0.032631401	0	0.032061711	0.16909965	0.039872616	0	0	0.043339831	0.167769537	0.025935387	0	0	0.015499723	0.060019575	0.100176969	0.010819715	0.053248084	0.143534676	0.00347605	0	0	0	0.072735117	0.065561413	0	0	0.038627976	0.039934259	0	0.072783984	0.051780731	0	0.071535915
Macrophage M0_CIBERSORT	0.032393485	0.247204114	0.156750054	0.237471959	0.218252929	0.063580912	0.18184371	0.116558339	0.112697226	0.21995072	0.103433984	0.048014749	0.213251205	0.302451375	0.198442044	0.080759478	0	0.247399768	0.130020061	0.135475576	0.444423335	0.012527557	0.311818039	0.246238138	0.119450964	0.247004936	0.361612162	0.153899535	0.207277331	0.199519162	0.102657976	0.102173069	0.198411449	0.167454002	0.066116269	0.171980758	0.199496122	0.011774117	0.172378652	0.234149943	0.142581093	0.098968742	0.028076003	0.195987403	0.147862917	0.277040746	0.026890127	0.194547927	0.090736956	0.274093611	0.055617988	0	0.153360083	0.160481423	0.33518225	0.246203444	0.015251441	0.301116046	0.308223243	0.125487632	0.1814427	0.222114108	0.23423537	0.168692386	0.265807278	0.253163133	0.199374813	0.273850105	0.291217692	0.050184641	0.048128073	0.126494734	0.17468782	0.341108335	0.299224031	0.18722792	0.12834316	0.166025698	0.128020297	0.144760699	0.122271878	0.062817657	0.132936442	0.271077368	0.1292798	0.099924336	0.225659633	0.138899697	0.298035309	0.212556587	0.361384143	0.027343264	0.420732314	0.189280251	0.16003063	0.159677039	0.014865098	0.228832205	0.416559591	0.103932986	0.138272624	0.042286333	0.173152914	0.174535999	0.178718363	0.19686764	0.067731091	0.17872067	0.016769498	0.076184432	0.082061072	0.233850123	0.196361181	0.1599882	0.265786092	0.118552428
Macrophage M1_CIBERSORT	0.009502838	0.136376438	0.037111484	0.016109383	0.035688397	0.090248386	0.16430219	0.035240718	0.042913211	0.054484186	0.125789876	0.097388573	0.12237041	0.061227661	0.113467654	0.124933543	0.014225869	0.112502064	0.124718615	0.132482795	0.019653696	0.078257754	0.018258583	0.082103043	0.08050134	0.065176586	0.022094727	0.180229292	0.028233667	0.044880435	0.109286643	0.065325246	0.069057002	0.09390601	0.012814514	0.129634504	0	0.000816885	0.097745865	0.078330437	0.13445495	0.08720209	0.145486359	0.187843232	0.077788955	0.023864887	0.146359968	0.067354433	0.119687501	0.101046824	0.119455289	0	0.100279451	0.044906131	0.074505652	0	0.074876254	0.132789345	0.026900786	0.167335588	0.130184624	0.096789475	0.115689548	0.068445406	0.10427911	0.055826623	0.128603704	0.057726899	0.056959377	0.038445633	0.098226674	0.102180688	0.052468914	0.066176699	0.097438004	0.009087504	0.143706815	0.177509977	0.119813484	0.042116799	0.010073772	0.00762112	0.045016548	0.067092434	0.053338977	0.110339634	0.005977496	0.077338525	0.064100426	0.03876276	0.119229499	0.009336697	0.019194032	0.002946958	0.007421177	0.077091793	0.067652256	0.034065727	0.066325716	0.126995814	0.03350361	0.162400049	0.128959159	0.197894552	0.086394519	0.119979477	0.122400039	0.119814795	0.079841544	0.087328922	0.02964557	0.133438474	0.004711837	0.028542027	0.093648033	0.094632364
Macrophage M2_CIBERSORT	0.135635233	0.020007685	0.09455081	0.083530801	0.161595754	0.131277705	0.088056884	0.088276467	0.09822609	0.221834222	0.063873861	0.084764457	0.03781648	0.058095336	0.038237734	0.035812101	0.103979004	0.072782254	0.084055698	0.082512234	0.094513907	0.142451984	0.164170965	0.077536491	0.043745392	0.045347633	0.157448124	0.065548599	0.085658027	0.149173302	0.06703714	0.071196333	0.119576069	0.050536408	0.086986777	0.06588105	0.13435631	0.185204199	0.067190028	0.034377856	0.05371327	0.030222955	0.049127786	0.127426251	0.026752093	0.065786231	0.149301278	0.079739627	0.057972002	0.041225283	0.139687673	0.057398995	0.094585955	0.020857957	0.098462583	0	0.118140676	0.113275367	0.068419612	0	0.12501816	0.060300913	0.099259852	0.041466063	0.034933003	0.143986182	0.05719573	0.091041648	0.192687931	0.090864245	0.109813649	0.067527245	0.092600665	0.098137726	0.095876121	0.058458614	0.072250599	0.042749478	0.052314222	0.060514155	0.128680453	0.105250624	0.031183056	0.046156415	0.159295718	0.062657129	0.087783582	0.061938365	0.034517981	0.195567272	0.04922632	0.070163198	0.103777941	0.061128045	0.037021922	0.032058192	0.187741012	0.03062167	0.108292107	0.081810195	0.043122794	0.165194767	0.081616423	0.021587184	0.063612169	0.040446706	0.036327617	0.035468195	0.113543214	0.087552906	0.093741684	0.045653778	0	0.131637691	0.082537344	0.120432668
Myeloid dendritic cell resting_CIBERSORT	0.150507738	0.020465046	0	0	0.03833722	0.037582213	0.016604503	0.028576267	0.003225784	0.010185865	0.012460935	0.054774635	0	0.013456447	0.025429244	0	0.024853073	0	0.07442171	0	0	0.030621172	0	0.00755251	0	0	0	0.02735297	0	0	0.040888964	0.039879617	0.0020175	0.001052181	0	0	0.044371163	0.005677695	0	0.029116606	0	0.008366598	0.027646528	0.026562962	0	0	0.006911368	0.019254848	0	0.006262248	0.020943047	0.063972592	0.006495656	0.015216909	0	0.163273346	0.008950014	0	0.004560057	0	0.013676487	0.001261187	0.010272651	0.001357359	0.012394824	0.002431138	0.02783766	0	0	0.013931671	0	0.050236716	0	0.038423509	0.01169294	0.012660601	0	0	0.022333697	0.002236544	0	0	0.007260579	0	0.019514951	0	0	0.000892809	0	0	0.015133138	0.033668358	0	0.048340309	0	0	0.026653718	0.003388367	0	0	0.019397839	0.007300013	0.064578633	0.016085588	0	0.023445924	0.031587547	0.013363964	0.012011356	0.057013775	0.011725442	0	0	0.001228997	0.009466762	0.039517746
Myeloid dendritic cell activated_CIBERSORT	0.025716901	0	0.037620057	0.03558798	0	0	0	0.079249777	0	0	0	0.030200525	0.009331799	0	0	0	0.036789963	0.008969379	0.016817967	0	0.100573572	0.017870775	0.096414425	0	0	0.024118536	0.043474336	0	0.033013252	0.022984962	0.011096875	0.002099129	0	0	0.1077495	0	0.109473991	0.085145015	0.020866583	0.00692479	0.003178869	0.037723759	0.028324525	0	0.000956445	0.020254009	0	0	0	0	0	0.108802299	0.026854041	0.0335952	0	0.270534948	0.006166224	2.74E-05	0.010849402	0.018688937	0	0	0.010417199	0	0	0.03449744	0	0	0.000102925	0.050128939	0.18486549	0.001580575	0.112080798	0	0	0.117738468	0.010352569	0	0.039297547	0.009270613	0.08726377	0.128466084	0.031345103	0	0.018076888	0	0.064752772	0	0	0.033703421	0.02108108	0.041892994	0.097012117	0.116000179	0.097134158	0.001150768	0.017375781	0.040718665	0	0	0.043851411	0	0.010455965	0	0	0	0.041566507	0	0.00568129	0.029497346	0.054117168	0.00781032	0.102758671	0.087425219	0	0
Mast cell activated_CIBERSORT	0.295142863	0.070591779	0.199181196	0.233667199	0.088550692	0.160863801	0.030394104	0.092393844	0.04104804	0.051984825	0.101336014	0.150958188	0.074418797	0.209489583	0.122275934	0.131042686	0.381706545	0.036231597	0.142645896	0.056081222	0	0.159781067	0.075312668	0.128555143	0.088059887	0.045740875	0.066240262	0.030416133	0.082594312	0.164701571	0.217661711	0.259549058	0.042413366	0.013512801	0.090315956	0.054391281	0.097358858	0.225165213	0.07826353	0.068600831	0.15604151	0.150783916	0.118883238	0.087568383	0.175424308	0.123079665	0.094037228	0.133332873	0.130652459	0.064257524	0.191238868	0.292045106	0.070874333	0.230764516	0.030913928	0	0.217387596	0.102937267	0.055393176	0.106434293	0.092386111	0.192834348	0.044969763	0.153304634	0.235807137	0.022212623	0.141282521	0.018234715	0.070659438	0.258347784	0.068750345	0.031604277	0.011965142	0.126180824	0.131042325	0.06406382	0.129879077	0.10520106	0.087728914	0.287618344	0.043943746	0.180506263	0.323672529	0.167948315	0.131917633	0.11063519	0.165016307	0.044678292	0.0791856	0.147995992	0.070142109	0.350667227	0.087481599	0	0.144272285	0.139116292	0.11874406	0.19472057	0.020692865	0.126489496	0.203323294	0.06015023	0.093446316	0.106918882	0.016748762	0.113481768	0.119327872	0.118938158	0.199145058	0.13370323	0.266168533	0.055986401	0.011903709	0.062208767	0.084634984	0.150673002
Mast cell resting_CIBERSORT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.007258854	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.074118331	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.008411067	0	0	0.109753795	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.171472897	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eosinophil_CIBERSORT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Neutrophil_CIBERSORT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.015320477	0.004504937	0	0	0	0	0	0	0	0.011260794	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003891994	0	0	0	0	0	0	0	0	0.027072167	0	0	0	0	0	0	0	0	0	0	0	0.004938619	0	0.002303782	0	0	0	0	0	0.009971611	0	0	0	0.025722041	0	0.088648834	0	0	0.002494701	0	0	0	0	0.001524381	0	0	0	0.008752021	0.092627658	0	0.002199716	0	0	0	0	0.00518473	0	0	0	0	0	0	0	0	0.002967606	0	0	0	0	0
