CellType,genesymbol
GO_ADAPTIVE_IMMUNE_RESPONSE,IGKV1D-12
GO_ADAPTIVE_IMMUNE_RESPONSE,IGKV1D-13
GO_ADAPTIVE_IMMUNE_RESPONSE,IGKV1D-17
GO_ADAPTIVE_IMMUNE_RESPONSE,IGKV1D-33
GO_ADAPTIVE_IMMUNE_RESPONSE,IGKV1D-37
GO_ADAPTIVE_IMMUNE_RESPONSE,IGKV1D-39
GO_ADAPTIVE_IMMUNE_RESPONSE,IGKV1D-42
GO_ADAPTIVE_IMMUNE_RESPONSE,IGKV1D-43
GO_ADAPTIVE_IMMUNE_RESPONSE,IGKV1D-8
GO_ADAPTIVE_IMMUNE_RESPONSE,IGKV2-24
GO_ADAPTIVE_IMMUNE_RESPONSE,IGKV2-28
GO_ADAPTIVE_IMMUNE_RESPONSE,IGKV2-29
GO_ADAPTIVE_IMMUNE_RESPONSE,IGKV2-30
GO_ADAPTIVE_IMMUNE_RESPONSE,IGKV2-40
GO_ADAPTIVE_IMMUNE_RESPONSE,IGKV2D-24
GO_ADAPTIVE_IMMUNE_RESPONSE,IGKV2D-26
GO_ADAPTIVE_IMMUNE_RESPONSE,IGKV2D-28
GO_ADAPTIVE_IMMUNE_RESPONSE,IGKV2D-29
GO_ADAPTIVE_IMMUNE_RESPONSE,IGKV2D-30
GO_ADAPTIVE_IMMUNE_RESPONSE,IGKV3-15
GO_ADAPTIVE_IMMUNE_RESPONSE,IGKV3-20
GO_ADAPTIVE_IMMUNE_RESPONSE,IGKV3-7
GO_ADAPTIVE_IMMUNE_RESPONSE,IGKV3D-11
GO_ADAPTIVE_IMMUNE_RESPONSE,IGKV3D-15
GO_ADAPTIVE_IMMUNE_RESPONSE,IGKV3D-20
GO_ADAPTIVE_IMMUNE_RESPONSE,IGKV3D-7
GO_ADAPTIVE_IMMUNE_RESPONSE,IGKV4-1
GO_ADAPTIVE_IMMUNE_RESPONSE,IGKV5-2
GO_ADAPTIVE_IMMUNE_RESPONSE,IGKV6-21
GO_ADAPTIVE_IMMUNE_RESPONSE,IGKV6D-21
GO_ADAPTIVE_IMMUNE_RESPONSE,IGKV6D-41
GO_ADAPTIVE_IMMUNE_RESPONSE,IGLC1
GO_ADAPTIVE_IMMUNE_RESPONSE,IGLC2
GO_ADAPTIVE_IMMUNE_RESPONSE,IGLC3
GO_ADAPTIVE_IMMUNE_RESPONSE,IGLC6
GO_ADAPTIVE_IMMUNE_RESPONSE,IGLC7
GO_ADAPTIVE_IMMUNE_RESPONSE,IGLJ1
GO_ADAPTIVE_IMMUNE_RESPONSE,IGLL1
GO_ADAPTIVE_IMMUNE_RESPONSE,IGLL5
GO_ADAPTIVE_IMMUNE_RESPONSE,IGLV1-36
GO_ADAPTIVE_IMMUNE_RESPONSE,IGLV1-40
GO_ADAPTIVE_IMMUNE_RESPONSE,IGLV1-44
GO_ADAPTIVE_IMMUNE_RESPONSE,IGLV1-47
GO_ADAPTIVE_IMMUNE_RESPONSE,IGLV1-50
GO_ADAPTIVE_IMMUNE_RESPONSE,IGLV1-51
GO_ADAPTIVE_IMMUNE_RESPONSE,IGLV10-54
GO_ADAPTIVE_IMMUNE_RESPONSE,IGLV11-55
GO_ADAPTIVE_IMMUNE_RESPONSE,IGLV2-11
GO_ADAPTIVE_IMMUNE_RESPONSE,IGLV2-14
GO_ADAPTIVE_IMMUNE_RESPONSE,IGLV2-18
GO_ADAPTIVE_IMMUNE_RESPONSE,IGLV2-23
GO_ADAPTIVE_IMMUNE_RESPONSE,IGLV2-33
GO_ADAPTIVE_IMMUNE_RESPONSE,IGLV2-8
GO_ADAPTIVE_IMMUNE_RESPONSE,IGLV3-1
GO_ADAPTIVE_IMMUNE_RESPONSE,IGLV3-10
GO_ADAPTIVE_IMMUNE_RESPONSE,IGLV3-12
GO_ADAPTIVE_IMMUNE_RESPONSE,IGLV3-16
GO_ADAPTIVE_IMMUNE_RESPONSE,IGLV3-19
GO_ADAPTIVE_IMMUNE_RESPONSE,IGLV3-21
GO_ADAPTIVE_IMMUNE_RESPONSE,IGLV3-22
GO_ADAPTIVE_IMMUNE_RESPONSE,IGLV3-25
GO_ADAPTIVE_IMMUNE_RESPONSE,IGLV3-27
GO_ADAPTIVE_IMMUNE_RESPONSE,IGLV3-32
GO_ADAPTIVE_IMMUNE_RESPONSE,IGLV3-9
GO_ADAPTIVE_IMMUNE_RESPONSE,IGLV4-3
GO_ADAPTIVE_IMMUNE_RESPONSE,IGLV4-60
GO_ADAPTIVE_IMMUNE_RESPONSE,IGLV4-69
GO_ADAPTIVE_IMMUNE_RESPONSE,IGLV5-37
GO_ADAPTIVE_IMMUNE_RESPONSE,IGLV5-45
GO_ADAPTIVE_IMMUNE_RESPONSE,IGLV5-48
GO_ADAPTIVE_IMMUNE_RESPONSE,IGLV5-52
GO_ADAPTIVE_IMMUNE_RESPONSE,IGLV6-57
GO_ADAPTIVE_IMMUNE_RESPONSE,IGLV7-43
GO_ADAPTIVE_IMMUNE_RESPONSE,IGLV7-46
GO_ADAPTIVE_IMMUNE_RESPONSE,IGLV8-61
GO_ADAPTIVE_IMMUNE_RESPONSE,IGLV9-49
GO_ADAPTIVE_IMMUNE_RESPONSE,IL10
GO_ADAPTIVE_IMMUNE_RESPONSE,IL12A
GO_ADAPTIVE_IMMUNE_RESPONSE,IL12B
GO_ADAPTIVE_IMMUNE_RESPONSE,IL12RB1
GO_ADAPTIVE_IMMUNE_RESPONSE,IL13RA2
GO_ADAPTIVE_IMMUNE_RESPONSE,IL18
GO_ADAPTIVE_IMMUNE_RESPONSE,IL18BP
GO_ADAPTIVE_IMMUNE_RESPONSE,IL18R1
GO_ADAPTIVE_IMMUNE_RESPONSE,IL18RAP
GO_ADAPTIVE_IMMUNE_RESPONSE,IL1B
GO_ADAPTIVE_IMMUNE_RESPONSE,IL1R1
GO_ADAPTIVE_IMMUNE_RESPONSE,IL1RL1
GO_ADAPTIVE_IMMUNE_RESPONSE,IL2
GO_ADAPTIVE_IMMUNE_RESPONSE,IL20RB
GO_ADAPTIVE_IMMUNE_RESPONSE,IL23A
GO_ADAPTIVE_IMMUNE_RESPONSE,IL23R
GO_ADAPTIVE_IMMUNE_RESPONSE,IL27
GO_ADAPTIVE_IMMUNE_RESPONSE,IL27RA
GO_ADAPTIVE_IMMUNE_RESPONSE,IL31RA
GO_ADAPTIVE_IMMUNE_RESPONSE,IL33
GO_ADAPTIVE_IMMUNE_RESPONSE,IL4
GO_ADAPTIVE_IMMUNE_RESPONSE,IL4R
GO_ADAPTIVE_IMMUNE_RESPONSE,IL6
GO_ADAPTIVE_IMMUNE_RESPONSE,IL6ST
GO_ADAPTIVE_IMMUNE_RESPONSE,IL7R
GO_ADAPTIVE_IMMUNE_RESPONSE,INPP5D
GO_ADAPTIVE_IMMUNE_RESPONSE,IRF1
GO_ADAPTIVE_IMMUNE_RESPONSE,IRF4
GO_ADAPTIVE_IMMUNE_RESPONSE,IRF7
GO_ADAPTIVE_IMMUNE_RESPONSE,ITK
GO_ADAPTIVE_IMMUNE_RESPONSE,JAG1
GO_ADAPTIVE_IMMUNE_RESPONSE,JAK2
GO_ADAPTIVE_IMMUNE_RESPONSE,JAK3
GO_ADAPTIVE_IMMUNE_RESPONSE,JAM3
GO_ADAPTIVE_IMMUNE_RESPONSE,JCHAIN
GO_ADAPTIVE_IMMUNE_RESPONSE,KDELR1
GO_ADAPTIVE_IMMUNE_RESPONSE,KLHL6
GO_ADAPTIVE_IMMUNE_RESPONSE,KLRC4-KLRK1
GO_ADAPTIVE_IMMUNE_RESPONSE,KLRK1
GO_ADAPTIVE_IMMUNE_RESPONSE,KMT5B
GO_ADAPTIVE_IMMUNE_RESPONSE,KMT5C
GO_ADAPTIVE_IMMUNE_RESPONSE,LAG3
GO_ADAPTIVE_IMMUNE_RESPONSE,LAIR1
GO_ADAPTIVE_IMMUNE_RESPONSE,LAMP3
GO_ADAPTIVE_IMMUNE_RESPONSE,LAT
GO_ADAPTIVE_IMMUNE_RESPONSE,LAT2
GO_ADAPTIVE_IMMUNE_RESPONSE,LAX1
GO_ADAPTIVE_IMMUNE_RESPONSE,LEF1
GO_ADAPTIVE_IMMUNE_RESPONSE,LIG4
GO_ADAPTIVE_IMMUNE_RESPONSE,LILRA1
GO_ADAPTIVE_IMMUNE_RESPONSE,LILRA3
GO_ADAPTIVE_IMMUNE_RESPONSE,LILRA6
GO_ADAPTIVE_IMMUNE_RESPONSE,LILRB1
GO_ADAPTIVE_IMMUNE_RESPONSE,LILRB2
GO_ADAPTIVE_IMMUNE_RESPONSE,LILRB3
GO_ADAPTIVE_IMMUNE_RESPONSE,LILRB4
GO_ADAPTIVE_IMMUNE_RESPONSE,LILRB5
GO_ADAPTIVE_IMMUNE_RESPONSE,LIME1
GO_ADAPTIVE_IMMUNE_RESPONSE,LOXL3
GO_ADAPTIVE_IMMUNE_RESPONSE,LTA
GO_ADAPTIVE_IMMUNE_RESPONSE,LY9
GO_ADAPTIVE_IMMUNE_RESPONSE,LYN
GO_ADAPTIVE_IMMUNE_RESPONSE,MAD2L2
GO_ADAPTIVE_IMMUNE_RESPONSE,MALT1
GO_ADAPTIVE_IMMUNE_RESPONSE,MAP3K7
GO_ADAPTIVE_IMMUNE_RESPONSE,MARCHF8
GO_ADAPTIVE_IMMUNE_RESPONSE,MASP2
GO_ADAPTIVE_IMMUNE_RESPONSE,MBL2
GO_ADAPTIVE_IMMUNE_RESPONSE,MCOLN1
GO_ADAPTIVE_IMMUNE_RESPONSE,MCOLN2
GO_ADAPTIVE_IMMUNE_RESPONSE,MEF2C
GO_ADAPTIVE_IMMUNE_RESPONSE,MICA
GO_ADAPTIVE_IMMUNE_RESPONSE,MICB
GO_ADAPTIVE_IMMUNE_RESPONSE,MIR21
GO_ADAPTIVE_IMMUNE_RESPONSE,MLH1
GO_ADAPTIVE_IMMUNE_RESPONSE,MR1
GO_ADAPTIVE_IMMUNE_RESPONSE,MSH2
GO_ADAPTIVE_IMMUNE_RESPONSE,MSH6
GO_ADAPTIVE_IMMUNE_RESPONSE,MTOR
GO_ADAPTIVE_IMMUNE_RESPONSE,MYO1G
GO_ADAPTIVE_IMMUNE_RESPONSE,NBN
GO_ADAPTIVE_IMMUNE_RESPONSE,NDFIP1
GO_ADAPTIVE_IMMUNE_RESPONSE,NECTIN2
GO_ADAPTIVE_IMMUNE_RESPONSE,NEDD4
GO_ADAPTIVE_IMMUNE_RESPONSE,NFKB2
GO_ADAPTIVE_IMMUNE_RESPONSE,NFKBID
GO_ADAPTIVE_IMMUNE_RESPONSE,NFKBIZ
GO_ADAPTIVE_IMMUNE_RESPONSE,NLRP10
GO_ADAPTIVE_IMMUNE_RESPONSE,NLRP3
GO_ADAPTIVE_IMMUNE_RESPONSE,NSD2
GO_ADAPTIVE_IMMUNE_RESPONSE,ORAI1
GO_ADAPTIVE_IMMUNE_RESPONSE,OTUB1
GO_ADAPTIVE_IMMUNE_RESPONSE,OTUD7B
GO_ADAPTIVE_IMMUNE_RESPONSE,P2RX7
GO_ADAPTIVE_IMMUNE_RESPONSE,PAG1
GO_ADAPTIVE_IMMUNE_RESPONSE,PARP3
GO_ADAPTIVE_IMMUNE_RESPONSE,PAXIP1
GO_ADAPTIVE_IMMUNE_RESPONSE,PDCD1
GO_ADAPTIVE_IMMUNE_RESPONSE,PDCD1LG2
GO_ADAPTIVE_IMMUNE_RESPONSE,PHB
GO_ADAPTIVE_IMMUNE_RESPONSE,PIK3CD
GO_ADAPTIVE_IMMUNE_RESPONSE,PIK3CG
GO_ADAPTIVE_IMMUNE_RESPONSE,PKN1
GO_ADAPTIVE_IMMUNE_RESPONSE,PLA2G4A
GO_ADAPTIVE_IMMUNE_RESPONSE,POU2F2
GO_ADAPTIVE_IMMUNE_RESPONSE,PPP3CB
GO_ADAPTIVE_IMMUNE_RESPONSE,PRDM1
GO_ADAPTIVE_IMMUNE_RESPONSE,PRF1
GO_ADAPTIVE_IMMUNE_RESPONSE,PRKCB
GO_ADAPTIVE_IMMUNE_RESPONSE,PRKCD
GO_ADAPTIVE_IMMUNE_RESPONSE,PRKCQ
GO_ADAPTIVE_IMMUNE_RESPONSE,PRKCZ
GO_ADAPTIVE_IMMUNE_RESPONSE,PRKD2
GO_ADAPTIVE_IMMUNE_RESPONSE,PRR7
GO_ADAPTIVE_IMMUNE_RESPONSE,PTK2B
GO_ADAPTIVE_IMMUNE_RESPONSE,PTPN6
GO_ADAPTIVE_IMMUNE_RESPONSE,PTPRC
GO_ADAPTIVE_IMMUNE_RESPONSE,PVR
GO_ADAPTIVE_IMMUNE_RESPONSE,PYCARD
GO_ADAPTIVE_IMMUNE_RESPONSE,RAB27A
GO_ADAPTIVE_IMMUNE_RESPONSE,RAG1
GO_ADAPTIVE_IMMUNE_RESPONSE,RC3H1
GO_ADAPTIVE_IMMUNE_RESPONSE,RC3H2
GO_ADAPTIVE_IMMUNE_RESPONSE,RELB
GO_ADAPTIVE_IMMUNE_RESPONSE,RFTN1
GO_ADAPTIVE_IMMUNE_RESPONSE,RIF1
GO_ADAPTIVE_IMMUNE_RESPONSE,RIPK2
GO_ADAPTIVE_IMMUNE_RESPONSE,RIPK3
GO_ADAPTIVE_IMMUNE_RESPONSE,RNF125
GO_ADAPTIVE_IMMUNE_RESPONSE,RNF168
GO_ADAPTIVE_IMMUNE_RESPONSE,RNF19B
GO_ADAPTIVE_IMMUNE_RESPONSE,RNF8
GO_ADAPTIVE_IMMUNE_RESPONSE,RORA
GO_ADAPTIVE_IMMUNE_RESPONSE,RORC
GO_ADAPTIVE_IMMUNE_RESPONSE,RSAD2
GO_ADAPTIVE_IMMUNE_RESPONSE,SAMSN1
GO_ADAPTIVE_IMMUNE_RESPONSE,SASH3
GO_ADAPTIVE_IMMUNE_RESPONSE,SCART1
GO_ADAPTIVE_IMMUNE_RESPONSE,SEMA4A
GO_ADAPTIVE_IMMUNE_RESPONSE,SERPING1
GO_ADAPTIVE_IMMUNE_RESPONSE,SH2D1A
GO_ADAPTIVE_IMMUNE_RESPONSE,SH2D1B
GO_ADAPTIVE_IMMUNE_RESPONSE,SHLD1
GO_ADAPTIVE_IMMUNE_RESPONSE,SHLD2
GO_ADAPTIVE_IMMUNE_RESPONSE,SHLD3
GO_ADAPTIVE_IMMUNE_RESPONSE,SIGLEC10
GO_ADAPTIVE_IMMUNE_RESPONSE,SIRT1
GO_ADAPTIVE_IMMUNE_RESPONSE,SIT1
GO_ADAPTIVE_IMMUNE_RESPONSE,SKAP1
GO_ADAPTIVE_IMMUNE_RESPONSE,SLA2
GO_ADAPTIVE_IMMUNE_RESPONSE,SLAMF1
GO_ADAPTIVE_IMMUNE_RESPONSE,SLAMF6
GO_ADAPTIVE_IMMUNE_RESPONSE,SLAMF7
GO_ADAPTIVE_IMMUNE_RESPONSE,SLC11A1
GO_ADAPTIVE_IMMUNE_RESPONSE,SLC22A13
GO_ADAPTIVE_IMMUNE_RESPONSE,SMAD7
GO_ADAPTIVE_IMMUNE_RESPONSE,SOCS5
GO_ADAPTIVE_IMMUNE_RESPONSE,SPN
GO_ADAPTIVE_IMMUNE_RESPONSE,STARD7
GO_ADAPTIVE_IMMUNE_RESPONSE,STAT3
GO_ADAPTIVE_IMMUNE_RESPONSE,STAT6
GO_ADAPTIVE_IMMUNE_RESPONSE,STX7
GO_ADAPTIVE_IMMUNE_RESPONSE,SUPT6H
GO_ADAPTIVE_IMMUNE_RESPONSE,SUSD4
GO_ADAPTIVE_IMMUNE_RESPONSE,SWAP70
GO_ADAPTIVE_IMMUNE_RESPONSE,SYK
GO_ADAPTIVE_IMMUNE_RESPONSE,TAP1
GO_ADAPTIVE_IMMUNE_RESPONSE,TAP2
GO_ADAPTIVE_IMMUNE_RESPONSE,TARM1
GO_ADAPTIVE_IMMUNE_RESPONSE,TBX21
GO_ADAPTIVE_IMMUNE_RESPONSE,TCIRG1
GO_ADAPTIVE_IMMUNE_RESPONSE,TEC
GO_ADAPTIVE_IMMUNE_RESPONSE,TFE3
GO_ADAPTIVE_IMMUNE_RESPONSE,TFEB
GO_ADAPTIVE_IMMUNE_RESPONSE,TFRC
GO_ADAPTIVE_IMMUNE_RESPONSE,TGFB1
GO_ADAPTIVE_IMMUNE_RESPONSE,THEMIS
GO_ADAPTIVE_IMMUNE_RESPONSE,THOC1
GO_ADAPTIVE_IMMUNE_RESPONSE,TLR4
GO_ADAPTIVE_IMMUNE_RESPONSE,TLR8
GO_ADAPTIVE_IMMUNE_RESPONSE,TMEM98
GO_ADAPTIVE_IMMUNE_RESPONSE,TNF
GO_ADAPTIVE_IMMUNE_RESPONSE,TNFAIP3
GO_ADAPTIVE_IMMUNE_RESPONSE,TNFRSF11A
GO_ADAPTIVE_IMMUNE_RESPONSE,TNFRSF13B
GO_ADAPTIVE_IMMUNE_RESPONSE,TNFRSF13C
GO_ADAPTIVE_IMMUNE_RESPONSE,TNFRSF14
GO_ADAPTIVE_IMMUNE_RESPONSE,TNFRSF17
GO_ADAPTIVE_IMMUNE_RESPONSE,TNFRSF1B
GO_ADAPTIVE_IMMUNE_RESPONSE,TNFRSF21
GO_ADAPTIVE_IMMUNE_RESPONSE,TNFSF13
GO_ADAPTIVE_IMMUNE_RESPONSE,TNFSF13B
GO_ADAPTIVE_IMMUNE_RESPONSE,TNFSF18
GO_ADAPTIVE_IMMUNE_RESPONSE,TNFSF4
GO_ADAPTIVE_IMMUNE_RESPONSE,TP53BP1
GO_ADAPTIVE_IMMUNE_RESPONSE,TRAC
GO_ADAPTIVE_IMMUNE_RESPONSE,TRAF2
GO_ADAPTIVE_IMMUNE_RESPONSE,TRAF6
GO_ADAPTIVE_IMMUNE_RESPONSE,TRAJ3
GO_ADAPTIVE_IMMUNE_RESPONSE,TRAJ31
GO_ADAPTIVE_IMMUNE_RESPONSE,TRAJ42
GO_ADAPTIVE_IMMUNE_RESPONSE,TRAT1
GO_ADAPTIVE_IMMUNE_RESPONSE,TRAV1-1
GO_ADAPTIVE_IMMUNE_RESPONSE,TRAV1-2
GO_ADAPTIVE_IMMUNE_RESPONSE,TRAV10
GO_ADAPTIVE_IMMUNE_RESPONSE,TRAV12-1
GO_ADAPTIVE_IMMUNE_RESPONSE,TRAV12-2
GO_ADAPTIVE_IMMUNE_RESPONSE,TRAV12-3
GO_ADAPTIVE_IMMUNE_RESPONSE,TRAV13-1
GO_ADAPTIVE_IMMUNE_RESPONSE,TRAV13-2
GO_ADAPTIVE_IMMUNE_RESPONSE,TRAV14DV4
GO_ADAPTIVE_IMMUNE_RESPONSE,TRAV16
GO_ADAPTIVE_IMMUNE_RESPONSE,TRAV17
GO_ADAPTIVE_IMMUNE_RESPONSE,TRAV18
GO_ADAPTIVE_IMMUNE_RESPONSE,TRAV19
GO_ADAPTIVE_IMMUNE_RESPONSE,TRAV2
GO_ADAPTIVE_IMMUNE_RESPONSE,TRAV20
GO_ADAPTIVE_IMMUNE_RESPONSE,TRAV21
GO_ADAPTIVE_IMMUNE_RESPONSE,TRAV22
GO_ADAPTIVE_IMMUNE_RESPONSE,TRAV23DV6
GO_ADAPTIVE_IMMUNE_RESPONSE,TRAV24
GO_ADAPTIVE_IMMUNE_RESPONSE,TRAV25
GO_ADAPTIVE_IMMUNE_RESPONSE,TRAV26-1
GO_ADAPTIVE_IMMUNE_RESPONSE,TRAV26-2
GO_ADAPTIVE_IMMUNE_RESPONSE,TRAV27
GO_ADAPTIVE_IMMUNE_RESPONSE,TRAV29DV5
GO_ADAPTIVE_IMMUNE_RESPONSE,TRAV3
GO_ADAPTIVE_IMMUNE_RESPONSE,TRAV30
GO_ADAPTIVE_IMMUNE_RESPONSE,TRAV34
GO_ADAPTIVE_IMMUNE_RESPONSE,TRAV35
GO_ADAPTIVE_IMMUNE_RESPONSE,TRAV36DV7
GO_ADAPTIVE_IMMUNE_RESPONSE,TRAV38-1
GO_ADAPTIVE_IMMUNE_RESPONSE,TRAV38-2DV8
GO_ADAPTIVE_IMMUNE_RESPONSE,TRAV39
GO_ADAPTIVE_IMMUNE_RESPONSE,TRAV4
GO_ADAPTIVE_IMMUNE_RESPONSE,TRAV40
GO_ADAPTIVE_IMMUNE_RESPONSE,TRAV41
GO_ADAPTIVE_IMMUNE_RESPONSE,TRAV5
GO_ADAPTIVE_IMMUNE_RESPONSE,TRAV6
GO_ADAPTIVE_IMMUNE_RESPONSE,TRAV7
GO_ADAPTIVE_IMMUNE_RESPONSE,TRAV8-1
GO_ADAPTIVE_IMMUNE_RESPONSE,TRAV8-2
GO_ADAPTIVE_IMMUNE_RESPONSE,TRAV8-3
GO_ADAPTIVE_IMMUNE_RESPONSE,TRAV8-4
GO_ADAPTIVE_IMMUNE_RESPONSE,TRAV8-6
GO_ADAPTIVE_IMMUNE_RESPONSE,TRAV9-1
GO_ADAPTIVE_IMMUNE_RESPONSE,TRAV9-2
GO_ADAPTIVE_IMMUNE_RESPONSE,TRBC1
GO_ADAPTIVE_IMMUNE_RESPONSE,TRBC2
GO_ADAPTIVE_IMMUNE_RESPONSE,TRBD1
GO_ADAPTIVE_IMMUNE_RESPONSE,TRBJ1-1
GO_ADAPTIVE_IMMUNE_RESPONSE,TRBJ1-2
GO_ADAPTIVE_IMMUNE_RESPONSE,TRBJ1-3
GO_ADAPTIVE_IMMUNE_RESPONSE,TRBJ1-4
GO_ADAPTIVE_IMMUNE_RESPONSE,TRBJ1-5
GO_ADAPTIVE_IMMUNE_RESPONSE,TRBJ1-6
GO_ADAPTIVE_IMMUNE_RESPONSE,TRBJ2-1
GO_ADAPTIVE_IMMUNE_RESPONSE,TRBJ2-2
GO_ADAPTIVE_IMMUNE_RESPONSE,TRBJ2-3
GO_ADAPTIVE_IMMUNE_RESPONSE,TRBJ2-4
GO_ADAPTIVE_IMMUNE_RESPONSE,TRBJ2-5
GO_ADAPTIVE_IMMUNE_RESPONSE,TRBJ2-6
GO_ADAPTIVE_IMMUNE_RESPONSE,TRBJ2-7
GO_ADAPTIVE_IMMUNE_RESPONSE,TRBV10-1
GO_ADAPTIVE_IMMUNE_RESPONSE,TRBV10-2
GO_ADAPTIVE_IMMUNE_RESPONSE,TRBV10-3
GO_ADAPTIVE_IMMUNE_RESPONSE,TRBV11-1
GO_ADAPTIVE_IMMUNE_RESPONSE,TRBV11-2
GO_ADAPTIVE_IMMUNE_RESPONSE,TRBV11-3
GO_ADAPTIVE_IMMUNE_RESPONSE,TRBV12-3
GO_ADAPTIVE_IMMUNE_RESPONSE,TRBV12-4
GO_ADAPTIVE_IMMUNE_RESPONSE,TRBV12-5
GO_ADAPTIVE_IMMUNE_RESPONSE,TRBV13
GO_ADAPTIVE_IMMUNE_RESPONSE,TRBV14
GO_ADAPTIVE_IMMUNE_RESPONSE,TRBV16
GO_ADAPTIVE_IMMUNE_RESPONSE,TRBV18
GO_ADAPTIVE_IMMUNE_RESPONSE,TRBV19
GO_ADAPTIVE_IMMUNE_RESPONSE,TRBV2
GO_ADAPTIVE_IMMUNE_RESPONSE,TRBV20-1
GO_ADAPTIVE_IMMUNE_RESPONSE,TRBV24-1
GO_ADAPTIVE_IMMUNE_RESPONSE,TRBV25-1
GO_ADAPTIVE_IMMUNE_RESPONSE,TRBV27
GO_ADAPTIVE_IMMUNE_RESPONSE,TRBV28
GO_ADAPTIVE_IMMUNE_RESPONSE,TRBV29-1
GO_ADAPTIVE_IMMUNE_RESPONSE,TRBV3-1
GO_ADAPTIVE_IMMUNE_RESPONSE,TRBV30
GO_ADAPTIVE_IMMUNE_RESPONSE,TRBV4-1
GO_ADAPTIVE_IMMUNE_RESPONSE,TRBV4-2
GO_ADAPTIVE_IMMUNE_RESPONSE,TRBV5-1
GO_ADAPTIVE_IMMUNE_RESPONSE,TRBV5-4
GO_ADAPTIVE_IMMUNE_RESPONSE,TRBV5-5
GO_ADAPTIVE_IMMUNE_RESPONSE,TRBV5-6
GO_ADAPTIVE_IMMUNE_RESPONSE,TRBV6-1
GO_ADAPTIVE_IMMUNE_RESPONSE,TRBV6-4
GO_ADAPTIVE_IMMUNE_RESPONSE,TRBV6-5
GO_ADAPTIVE_IMMUNE_RESPONSE,TRBV6-6
GO_ADAPTIVE_IMMUNE_RESPONSE,TRBV6-8
GO_ADAPTIVE_IMMUNE_RESPONSE,TRBV7-2
GO_ADAPTIVE_IMMUNE_RESPONSE,TRBV7-4
GO_ADAPTIVE_IMMUNE_RESPONSE,TRBV7-6
GO_ADAPTIVE_IMMUNE_RESPONSE,TRBV7-7
GO_ADAPTIVE_IMMUNE_RESPONSE,TRBV7-9
GO_ADAPTIVE_IMMUNE_RESPONSE,TRBV9
GO_ADAPTIVE_IMMUNE_RESPONSE,TRDC
GO_ADAPTIVE_IMMUNE_RESPONSE,TRDD1
GO_ADAPTIVE_IMMUNE_RESPONSE,TRDJ1
GO_ADAPTIVE_IMMUNE_RESPONSE,TRDV1
GO_ADAPTIVE_IMMUNE_RESPONSE,TRDV2
GO_ADAPTIVE_IMMUNE_RESPONSE,TRDV3
GO_ADAPTIVE_IMMUNE_RESPONSE,TREX1
GO_ADAPTIVE_IMMUNE_RESPONSE,TRGC2
GO_ADAPTIVE_IMMUNE_RESPONSE,TRGJ2
GO_ADAPTIVE_IMMUNE_RESPONSE,TRGV2
GO_ADAPTIVE_IMMUNE_RESPONSE,TRGV3
GO_ADAPTIVE_IMMUNE_RESPONSE,TRGV4
GO_ADAPTIVE_IMMUNE_RESPONSE,TRGV5
GO_ADAPTIVE_IMMUNE_RESPONSE,TRGV8
GO_ADAPTIVE_IMMUNE_RESPONSE,TRGV9
GO_ADAPTIVE_IMMUNE_RESPONSE,TRIM27
GO_ADAPTIVE_IMMUNE_RESPONSE,TRPM4
GO_ADAPTIVE_IMMUNE_RESPONSE,TSC1
GO_ADAPTIVE_IMMUNE_RESPONSE,TSTA3
GO_ADAPTIVE_IMMUNE_RESPONSE,TXK
GO_ADAPTIVE_IMMUNE_RESPONSE,UNC13D
GO_ADAPTIVE_IMMUNE_RESPONSE,UNC93B1
GO_ADAPTIVE_IMMUNE_RESPONSE,UNG
GO_ADAPTIVE_IMMUNE_RESPONSE,VTCN1
GO_ADAPTIVE_IMMUNE_RESPONSE,WAS
GO_ADAPTIVE_IMMUNE_RESPONSE,XCL1
GO_ADAPTIVE_IMMUNE_RESPONSE,ZAP70
GO_ADAPTIVE_IMMUNE_RESPONSE,ZBTB1
GO_ADAPTIVE_IMMUNE_RESPONSE,ZBTB7B
GO_ADAPTIVE_IMMUNE_RESPONSE,ZC3H12A
GO_ADAPTIVE_IMMUNE_RESPONSE,ZNF683
GO_ADAPTIVE_IMMUNE_RESPONSE,ZP3
GO_CYTOKINE_PRODUCTION_INVOLVED_IN_IMMUNE_RESPONSE,APOA1
GO_CYTOKINE_PRODUCTION_INVOLVED_IN_IMMUNE_RESPONSE,APOA2
GO_CYTOKINE_PRODUCTION_INVOLVED_IN_IMMUNE_RESPONSE,ARG1
GO_CYTOKINE_PRODUCTION_INVOLVED_IN_IMMUNE_RESPONSE,B2M
GO_CYTOKINE_PRODUCTION_INVOLVED_IN_IMMUNE_RESPONSE,BCL10
GO_CYTOKINE_PRODUCTION_INVOLVED_IN_IMMUNE_RESPONSE,BCL6
GO_CYTOKINE_PRODUCTION_INVOLVED_IN_IMMUNE_RESPONSE,BST2
GO_CYTOKINE_PRODUCTION_INVOLVED_IN_IMMUNE_RESPONSE,BTK
GO_CYTOKINE_PRODUCTION_INVOLVED_IN_IMMUNE_RESPONSE,CCR2
GO_CYTOKINE_PRODUCTION_INVOLVED_IN_IMMUNE_RESPONSE,CD160
GO_CYTOKINE_PRODUCTION_INVOLVED_IN_IMMUNE_RESPONSE,CD226
